Date,Scans,Active_Devices,Bluetooth
19/05/20,1407,,
20/05/20,11411,,
21/05/20,23561,,
22/05/20,30275,,
23/05/20,31444,,
24/05/20,29426,,
25/05/20,31629,,
26/05/20,36794,,
27/05/20,39216,,
28/05/20,43473,,
29/05/20,48091,,
30/05/20,51353,,
31/05/20,41061,,
1/06/20,41382,,
2/06/20,39801,,
3/06/20,43562,,
4/06/20,45368,,
5/06/20,49272,,
6/06/20,50110,,
7/06/20,47585,,
8/06/20,43688,,
9/06/20,41358,,
10/06/20,40404,,
11/06/20,36798,,
12/06/20,30559,,
13/06/20,26429,,
14/06/20,26642,,
15/06/20,27261,,
16/06/20,33006,,
17/06/20,35471,,
18/06/20,34190,,
19/06/20,24013,,
20/06/20,15885,,
21/06/20,18051,,
22/06/20,19598,,
23/06/20,19163,12169,
24/06/20,17780,13146,
25/06/20,16173,11988,
26/06/20,12096,9009,
27/06/20,9925,7329,
28/06/20,11887,9336,
29/06/20,12878,9692,
30/06/20,12917,9676,
1/07/20,12242,9175,
2/07/20,13197,8867,
3/07/20,9985,6838,
4/07/20,7966,5399,
5/07/20,12549,6842,
6/07/20,13758,7153,
7/07/20,14857,7330,
8/07/20,16309,7528,
9/07/20,17564,7491,
10/07/20,14737,6039,
11/07/20,12079,4800,
12/07/20,14402,5982,
13/07/20,17098,6959,
14/07/20,18663,7156,
15/07/20,25718,9937,
16/07/20,31925,11907,
17/07/20,27266,9746,
18/07/20,22250,7823,
19/07/20,24045,8916,
20/07/20,25077,9135,
21/07/20,23686,8730,
22/07/20,24161,17791,
23/07/20,24078,17615,
24/07/20,21128,15500,
25/07/20,17978,13074,
26/07/20,20091,15041,
27/07/20,21466,15722,
28/07/20,22035,16139,
29/07/20,22130,16060,
30/07/20,21105,15269,
31/07/20,17474,12434,
1/08/20,16428,11466,
2/08/20,19402,13905,
3/08/20,21567,15135,
4/08/20,25254,17702,
5/08/20,32169,22353,
6/08/20,37806,25533,
7/08/20,33790,22898,
